Nation,Team,AgeGroup_Leq_20,AgeGroup_21_30,AgeGroup_Gt_30
0,Leeds United,100.00%,0.00%,0.00%
0,Southampton,100.00%,0.00%,0.00%
0,Wolverhampton Wanderers,100.00%,0.00%,0.00%
Albania,Southampton,100.00%,0.00%,0.00%
Algeria,Manchester City,0.00%,100.00%,0.00%
Algeria,West Ham United,0.00%,100.00%,0.00%
Angola,Leeds United,0.00%,100.00%,0.00%
Argentina,Aston Villa,0.00%,100.00%,0.00%
Argentina,Brighton & Hove Albion,0.00%,100.00%,0.00%
Argentina,Newcastle United,0.00%,0.00%,100.00%
Argentina,Southampton,0.00%,0.00%,100.00%
Argentina,Tottenham Hotspur,0.00%,100.00%,0.00%
Argentina,West Ham United,0.00%,100.00%,0.00%
Austria,Watford,0.00%,100.00%,0.00%
Belgium,Arsenal,0.00%,100.00%,0.00%
Belgium,Brighton & Hove Albion,0.00%,100.00%,0.00%
Belgium,Chelsea,0.00%,100.00%,0.00%
Belgium,Crystal Palace,0.00%,100.00%,0.00%
Belgium,Leicester City,0.00%,100.00%,0.00%
Belgium,Liverpool,0.00%,100.00%,0.00%
Belgium,Manchester City,50.00%,50.00%,0.00%
Belgium,Watford,0.00%,100.00%,0.00%
Belgium,Wolverhampton Wanderers,0.00%,100.00%,0.00%
Bosnia and Herzegovina,Arsenal,0.00%,100.00%,0.00%
Bosnia and Herzegovina,Everton,0.00%,0.00%,100.00%
Brazil,Arsenal,50.00%,50.00%,0.00%
Brazil,Aston Villa,0.00%,100.00%,0.00%
Brazil,Chelsea,0.00%,50.00%,50.00%
Brazil,Everton,0.00%,100.00%,0.00%
Brazil,Leeds United,0.00%,100.00%,0.00%
Brazil,Liverpool,25.00%,75.00%,0.00%
Brazil,Manchester City,25.00%,50.00%,25.00%
Brazil,Manchester United,0.00%,100.00%,0.00%
Brazil,Newcastle United,0.00%,100.00%,0.00%
Brazil,Southampton,0.00%,100.00%,0.00%
Brazil,Tottenham Hotspur,0.00%,100.00%,0.00%
Brazil,Watford,50.00%,50.00%,0.00%
Brazil,Wolverhampton Wanderers,0.00%,0.00%,100.00%
Burkina Faso,Aston Villa,0.00%,100.00%,0.00%
Cameroon,Liverpool,0.00%,100.00%,0.00%
Cameroon,Watford,0.00%,0.00%,100.00%
Chile,Watford,0.00%,100.00%,0.00%
